seed,layer_idx,l2,split,accuracy,precision,recall,f1,auroc
0,16,0.0,train,0.999589684992339,0.9950832440852887,0.9953012781497261,0.9951922491753794,0.9999715685844421
0,16,0.0,val,0.9771973970172337,0.9895701643489254,0.4635428233029832,0.631345465544185,0.9973440170288086
0,16,0.0001,train,0.998067883761394,0.956699974378683,0.9999756542909313,0.9778592514998572,0.99998939037323
0,16,0.0001,val,0.988132543832571,0.9435859925025144,0.7639351543415501,0.8443099075513376,0.9924614429473877
0,16,0.001,train,0.9997382294128341,0.9944286994646707,0.999464394400487,0.9969401879598825,0.9999913573265076
0,16,0.001,val,0.9843502988690682,0.9914332021301228,0.6339477385446739,0.7733778841378065,0.9971961379051208
0,16,0.01,train,0.9994629547874413,0.9878747052879757,0.9996835057821059,0.9937440253627133,0.9999861717224121
0,16,0.01,val,0.9844625501622967,0.9797434166103984,0.644459249389296,0.7774949765572672,0.996978223323822
